convoid,conv_created_at,utterance,speaker,confidence_score,intent,fallback_indicator,escalation_indicator
1413,2022-05-08T20:50:40Z,"Good afternoon, how can I help you?",expert,,,,
1413,2022-05-08T20:50:40Z,Hi. I need your help in sorting out a problem I have,client,1,technical_issues-general_issue,FALSE,FALSE
1413,2022-05-08T20:50:40Z,"Gladly, tell me what you need.",expert,,,,
1413,2022-05-08T20:50:40Z,I am looking at my march bill and I see that I was charged twice for a shirt that I bought. Can you help with this?,client,0.17757392,shopping_issues-missing_credit_on_account,TRUE,FALSE
1413,2022-05-08T20:50:40Z,Of couse!,expert,,,,
1413,2022-05-08T20:50:40Z,Give me your full name and account ID. please,expert,,,,
1413,2022-05-08T20:50:40Z,my name is joyce wu and the account id is 64vmt99fke,client,0.58992475,background-define_name,FALSE,FALSE
1413,2022-05-08T20:50:40Z,Account has been pulled up for Joyce Wu.,expert,,,,
1413,2022-05-08T20:50:40Z,Account has been pulled up for 64vmt99fke.,expert,,,,
1413,2022-05-08T20:50:40Z,"Ok, would you give me the order ID. please",expert,,,,
1413,2022-05-08T20:50:40Z,order id is 3135346547,client,0.49880716,shipping_issues-status_order,FALSE,FALSE
1413,2022-05-08T20:50:40Z,Identity verification in progess ...,expert,,,,
1413,2022-05-08T20:50:40Z,Ok let me check the error.,expert,,,,
1413,2022-05-08T20:50:40Z,Querying the system for an answer ...,expert,,,,
1413,2022-05-08T20:50:40Z,It would indicate the level of your membership,expert,,,,
1413,2022-05-08T20:50:40Z,please,expert,,,,
1413,2022-05-08T20:50:40Z,my membeship level is guest,client,0.2894275,membership_enquiries-premium_signup,TRUE,FALSE
1413,2022-05-08T20:50:40Z,why was I charged twice?,client,0.27416772,membership_enquiries,TRUE,FALSE
1413,2022-05-08T20:50:40Z,are you there,client,0.19923294,conversational-greeting,TRUE,FALSE
1413,2022-05-08T20:50:40Z,Membership level of guest has been noted.,expert,,,,
1413,2022-05-08T20:50:40Z,"Yes, but it was due to a change in prices on the date of purchase. I really apologize for the inconvenience but there is nothing I can do.",expert,,,,
1413,2022-05-08T20:50:40Z,I would like to speak with your manager,client,0.25084886,shopping_issues-item_question,TRUE,TRUE
1413,2022-05-08T20:50:40Z,"I understand, a moment please",expert,,,,
1413,2022-05-08T20:50:40Z,Agent is looking for solutions ...,expert,,,,
1413,2022-05-08T20:50:40Z,I need a manager please,client,0.237855,technical_issues-general_issue,TRUE,FALSE
1413,2022-05-08T20:50:40Z,Agent is looking for solutions ...,expert,,,,
