Labelled Phrase,Detected Phrase,Intent Id,Intent Name,Top Match Intent Id,Top Match Intent Name,Top Match Score,Entropy,Uncertainty,Margin Score,Result Type,Num Correct Entities,Num Missed Entities,Num Spurious Entities,Labelled Entities,Detected Entities,Combined result type
The search seems to be fixed,The search seems to be fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.664315,0.594641,0.335685,0.577884,Pass,0,0,0,,,Pass
ok. search is working now,ok. search is working now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.923093,0.239666,0.076907,0.116878,Pass,0,0,0,,,Pass
search is fixed,search is fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.668781,0.701357,0.331219,0.584211,Pass,0,0,0,,,Pass
"That seemed to work, my search is now working properly","That seemed to work, my search is now working properly",intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.811179,0.426614,0.188821,0.268900,Pass,0,0,0,,,Pass
"HEy, that works for me, I can search again","HEy, that works for me, I can search again",intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.800891,0.403725,0.199109,0.328928,Pass,0,0,0,,,Pass
The search works now,The search works now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.889686,0.318651,0.110314,0.167707,Pass,0,0,0,,,Pass
It's working now.  That fixed the search problem.  Thank you!,It's working now.  That fixed the search problem.  Thank you!,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.738499,0.554254,0.261501,0.383980,Pass,0,0,0,,,Pass
I just did a search and it went through like normal,I just did a search and it went through like normal,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.723647,0.510835,0.276353,0.347176,Pass,0,0,0,,,Pass
search is normal,search is normal,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.530550,0.710072,0.469450,0.701461,Pass,0,0,0,,,Pass
the search bar is working now,the search bar is working now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.502542,0.650147,0.497458,0.934116,Pass,0,0,0,,,Pass
hey that seemed to work! the search is working fine now,hey that seemed to work! the search is working fine now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.857698,0.374742,0.142302,0.208739,Pass,0,0,0,,,Pass
But I can search now,But I can search now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.811783,0.407465,0.188217,0.239714,Pass,0,0,0,,,Pass
i can search normal now,i can search normal now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.919433,0.269949,0.080567,0.116570,Pass,0,0,0,,,Pass
hey that seemed to work! my search is normal now,hey that seemed to work! my search is normal now,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.902633,0.270271,0.097367,0.135093,Pass,0,0,0,,,Pass
Now I am able to search,Now I am able to search,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.892208,0.265090,0.107792,0.139390,Pass,0,0,0,,,Pass
I'm currently having an issue with the search,I'm currently having an issue with the search,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.482916,0.738861,0.517084,0.844970,Fail,0,0,0,,,IntentFail
The search is really slow today,The search is really slow today,intent-O3KV4TFKRBOHXNQ6RQF6YE3S,search_issue / search_is_slow,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.580647,0.619747,0.419353,0.596268,Fail,0,0,0,,,IntentFail
I can browse now!,I can browse now!,intent-ZFK5H4EUPFPQXBBAR7VWEJZY,technical_issues / its_fixed,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,0.540706,0.831213,0.459294,0.749204,Fail,0,0,0,,,IntentFail
was scared for a moment,was scared for a moment,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.853199,0.247321,0.146801,0.163762,Pass,0,0,0,,,Pass
upset,upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.971333,0.000000,0.028667,0.000000,Pass,0,0,0,,,Pass
I am so upset,I am so upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.998478,0.000000,0.001522,0.000000,Pass,0,0,0,,,Pass
And I am very upset,And I am very upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.994193,0.000000,0.005807,0.000000,Pass,0,0,0,,,Pass
I am so upset that I fell for it!,I am so upset that I fell for it!,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.990822,0.000000,0.009178,0.000000,Pass,0,0,0,,,Pass
I'm so relieved,I'm so relieved,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.996320,0.000000,0.003680,0.000000,Pass,0,0,0,,,Pass
im so frustrated!!!,im so frustrated!!!,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.994066,0.000000,0.005934,0.000000,Pass,0,0,0,,,Pass
I am so tired of it,I am so tired of it,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.992052,0.000000,0.007948,0.000000,Pass,0,0,0,,,Pass
It's making me crazy,It's making me crazy,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.966362,0.000000,0.033638,0.000000,Pass,0,0,0,,,Pass
That's crazy. I'm not too happy.,That's crazy. I'm not too happy.,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.944842,0.000000,0.055158,0.000000,Pass,0,0,0,,,Pass
I'm very upset about this,I'm very upset about this,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.997540,0.000000,0.002460,0.000000,Pass,0,0,0,,,Pass
i am so mad,i am so mad,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.990158,0.000000,0.009842,0.000000,Pass,0,0,0,,,Pass
uggh i'm so annoyed,uggh i'm so annoyed,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.995571,0.000000,0.004429,0.000000,Pass,0,0,0,,,Pass
i feel really upset,i feel really upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.998441,0.000000,0.001559,0.000000,Pass,0,0,0,,,Pass
It's really frustrating,It's really frustrating,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.992307,0.000000,0.007693,0.000000,Pass,0,0,0,,,Pass
sorry. it is making me so grumpy,sorry. it is making me so grumpy,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.962812,0.000000,0.037188,0.000000,Pass,0,0,0,,,Pass
I’m very upset about it,I’m very upset about it,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.997263,0.000000,0.002737,0.000000,Pass,0,0,0,,,Pass
this is too much hassle!!!,this is too much hassle!!!,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.982506,0.000000,0.017494,0.000000,Pass,0,0,0,,,Pass
I am upset about this,I am upset about this,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.996364,0.000000,0.003636,0.000000,Pass,0,0,0,,,Pass
I am so annoyed!,I am so annoyed!,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.997007,0.000000,0.002993,0.000000,Pass,0,0,0,,,Pass
This is really disappointing to me,This is really disappointing to me,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.990976,0.000000,0.009024,0.000000,Pass,0,0,0,,,Pass
So annoying,So annoying,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.976448,0.000000,0.023552,0.000000,Pass,0,0,0,,,Pass
I'm SO upset,I'm SO upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.996365,0.000000,0.003635,0.000000,Pass,0,0,0,,,Pass
That's so upsetting,That's so upsetting,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.992035,0.000000,0.007965,0.000000,Pass,0,0,0,,,Pass
that's why I'm so upset,that's why I'm so upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.994120,0.000000,0.005880,0.000000,Pass,0,0,0,,,Pass
Ugh I'm pretty annoyed right now.,Ugh I'm pretty annoyed right now.,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.982539,0.000000,0.017461,0.000000,Pass,0,0,0,,,Pass
i was scared for a bit,i was scared for a bit,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.930165,0.000000,0.069835,0.000000,Pass,0,0,0,,,Pass
I am really upset today,I am really upset today,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.991004,0.000000,0.008996,0.000000,Pass,0,0,0,,,Pass
ugh im so frusterted,ugh im so frusterted,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.992318,0.000000,0.007682,0.000000,Pass,0,0,0,,,Pass
it is very frustratimg,it is very frustratimg,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.994943,0.000000,0.005057,0.000000,Pass,0,0,0,,,Pass
Yes i really upset at the moment,Yes i really upset at the moment,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.984523,0.000000,0.015477,0.000000,Pass,0,0,0,,,Pass
"Hi. I am a little upset today, to be honest","Hi. I am a little upset today, to be honest",intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.927552,0.163426,0.072448,0.087269,Pass,0,0,0,,,Pass
This is really annoying,This is really annoying,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.958573,0.173910,0.041427,0.062030,Pass,0,0,0,,,Pass
I was so upset,I was so upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.998227,0.000000,0.001773,0.000000,Pass,0,0,0,,,Pass
I am kind of annoyed!,I am kind of annoyed!,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.991441,0.000000,0.008559,0.000000,Pass,0,0,0,,,Pass
its kind frustrating,its kind frustrating,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.992817,0.000000,0.007183,0.000000,Pass,0,0,0,,,Pass
So today I had a very frustrating experience,So today I had a very frustrating experience,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.806982,0.290572,0.193018,0.226358,Pass,0,0,0,,,Pass
this is ridiculous,this is ridiculous,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.975884,0.000000,0.024116,0.000000,Pass,0,0,0,,,Pass
I'm very disappointed,I'm very disappointed,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.993982,0.000000,0.006018,0.000000,Pass,0,0,0,,,Pass
"oh man, this is so embarassing","oh man, this is so embarassing",intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,intent-ECQCIOMRG5JLBDGU5K62NCXN,feedback / upset,0.894223,0.206590,0.105777,0.121859,Pass,0,0,0,,,Pass
The search bar on your website BLOWS.,The search bar on your website BLOWS.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.882924,0.263770,0.117076,0.141926,Pass,0,0,0,,,Pass
my search isn't working,my search isn't working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.681576,0.594982,0.318424,0.506403,Pass,0,0,0,,,Pass
The search bar does not seem to work.,The search bar does not seem to work.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.949546,0.191196,0.050454,0.079671,Pass,0,0,0,,,Pass
The search bar doesn't seem to be working right,The search bar doesn't seem to be working right,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.954069,0.172308,0.045931,0.070027,Pass,0,0,0,,,Pass
The search bar isn't working properly.,The search bar isn't working properly.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.961130,0.155770,0.038870,0.060924,Pass,0,0,0,,,Pass
search problem,search problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.718088,0.544454,0.281912,0.357729,Pass,0,0,0,,,Pass
The search bar isn't working,The search bar isn't working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.960849,0.188756,0.039151,0.064240,Pass,0,0,0,,,Pass
